"date","casiPostivi","contattoStretto","ricoverato","viaggiatori","scolastici","indEpidemiolgica","positiviSuMille","meanSuPopolazione","maxSuPopolazione","minSuPopolazione"
2021-01-11,19,2,3,0,NA,21,9.39274792485802,9.36426783361586,22.5464190981432,2.16383307573416
2021-01-12,19,3,3,0,NA,21,9.39274792485802,9.48209794829637,20.88772845953,2.49532127261385
2021-01-13,14,2,4,0,NA,19,8.30056793359546,9.47679615403089,22.3880597014925,2.9663810151615
2021-01-14,8,2,6,0,NA,22,8.08213193534294,9.09743177716769,18.1197787975056,0.623830318153462
2021-01-15,9,1,5,0,NA,24,8.51900393184797,9.09588930218495,21.4183722037125,1.74825174825175
2021-01-16,10,2,5,0,NA,19,7.64525993883792,8.54600566707208,18.0866254164683,0.623830318153462
2021-01-17,10,2,5,0,NA,17,7.2083879423329,8.10627174187052,19.3021529324425,1.24766063630692
2021-01-18,16,2,5,0,NA,4,5.67933595456531,7.24916570658365,17.2413793103448,1.24766063630692
2021-01-19,12,1,3,0,NA,4,4.36871996505024,7.099965697349,20.0445434298441,1.24766063630692
2021-01-20,15,0,3,0,NA,3,5.02402795980778,6.83900601550127,19.3021529324425,1.24766063630692
2021-01-21,19,5,2,0,NA,5,6.11620795107034,5.95929898183867,19.3021529324425,1.24766063630692
2021-01-22,19,6,3,0,NA,2,5.67933595456531,5.468932183806,18.5597624350408,1.1359333585763
2021-01-23,19,8,2,0,NA,3,5.89777195281782,5.37247452271625,15.5902004454343,0.623830318153462
2021-01-24,19,8,1,0,NA,3,5.67933595456531,4.90786076987981,17.0749814402376,0.431592576607682
2021-01-25,18,8,1,0,NA,4,5.67933595456531,4.61129764610733,16.3325909428359,0.431592576607682
2021-01-26,14,8,1,0,NA,1,4.15028396679773,4.31355012618454,14.105419450631,0.623830318153462
2021-01-27,15,5,1,0,NA,4,5.02402795980778,4.2065179974109,13.3630289532294,0.431592576607682
2021-01-28,12,5,1,0,NA,4,4.15028396679773,3.74644768249386,11.8782479584261,0.396353547364249
2021-01-29,15,8,1,1,NA,3,4.80559196155526,3.53870541386425,13.3630289532294,0.705716302046577
2021-01-30,16,7,2,1,NA,3,4.80559196155526,3.42723487329519,15.5902004454343,0.431592576607682
2021-01-31,12,6,2,1,NA,2,3.7134119702927,3.15840313958704,13.3630289532294,0.396353547364249
2021-02-01,11,6,2,1,NA,2,3.27653997378768,2.9264781457187,12.6206384558278,0.396353547364249
2021-02-02,12,10,1,1,NA,2,3.27653997378768,2.88012291603631,10.3934669636229,0.236378678643186
2021-02-03,18,12,1,1,NA,0,4.15028396679773,2.77590910633614,13.3630289532294,0.236378678643186
2021-02-04,20,14,1,1,NA,1,4.80559196155526,2.59100143913742,11.8782479584261,0.331895121141719
2021-02-05,20,13,1,1,NA,0,4.58715596330275,2.56450371805831,9.65107646622123,0.236378678643186
2021-02-06,20,16,2,1,NA,0,4.80559196155526,2.35378569191858,8.16629547141797,0.236378678643186
2021-02-07,20,13,2,0,NA,0,4.80559196155526,2.05880148134093,6.6815144766147,0.236378678643186
2021-02-08,17,12,2,0,NA,0,4.15028396679773,1.92390795834541,5.19673348181143,0.236378678643186
2021-02-09,19,10,2,0,NA,0,4.58715596330275,1.92024921653419,6.55093350802489,0.307881773399015
2021-02-10,17,11,2,0,NA,0,4.15028396679773,1.7863475913259,5.24074680641991,0.35456801796478
2021-02-11,16,9,2,0,NA,0,3.93184796854522,1.69638701244806,5.22718134298351,0.236378678643186
2021-02-12,16,10,1,0,NA,1,3.93184796854522,1.85472743786115,5.47045951859956,0.307881773399015
2021-02-13,13,9,1,0,NA,0,3.27653997378768,1.79651268838116,7.65864332603939,0.382409177820268
2021-02-15,10,8,1,0,NA,1,2.83966797728266,1.63399142519658,7.65864332603939,0.307881773399015
2021-02-16,11,4,0,0,NA,0,2.40279598077763,1.62767858322597,6.2910284463895,0.307881773399015
2021-02-17,8,5,1,0,NA,0,1.96592398427261,1.50180259381148,5.28953229398664,0.307881773399015
2021-02-18,7,6,1,0,NA,0,1.7474879860201,1.65293712745043,6.2910284463895,0.336021505376344
2021-02-19,5,5,1,0,NA,0,1.31061598951507,1.67515384457509,6.01750547045952,0.336021505376344
2021-02-20,5,5,1,0,NA,0,1.31061598951507,1.68708242352934,5.64573041637262,0.309119010819165
2021-02-21,6,4,1,0,NA,0,1.52905198776758,1.71804562562946,5.74398249452954,0.336021505376344
2021-02-22,4,3,1,0,NA,0,1.31061598951507,1.68464898432217,5.74398249452954,0.309119010819165
2021-02-23,1,1,2,0,NA,0,0.873743993010048,1.77349483224312,6.3514467184192,0.168010752688172
2021-02-24,1,1,2,0,NA,1,1.09217999126256,1.92819076759367,6.3514467184192,0.382409177820268
2021-02-25,1,3,2,0,NA,1,1.09217999126256,2.03857419653746,6.86213349968808,0.281610813855252
2021-02-26,3,2,1,0,NA,1,1.31061598951507,2.26105685559363,8.10979413599501,0.281610813855252
2021-02-27,5,2,0,0,NA,1,1.52905198776758,2.28371952858279,8.10979413599501,0.281610813855252
2021-02-28,5,2,0,0,NA,5,2.40279598077763,2.27954260319977,8.10979413599501,0.281610813855252
2021-03-01,5,2,0,0,0,5,2.40279598077763,2.25381875365829,8.73362445414847,0.281610813855252
2021-03-02,4,5,0,0,0,5,2.18435998252512,2.35278772847612,8.73362445414847,0.3295978905735
2021-03-03,9,6,0,0,1,2,2.62123197903014,2.68379065554159,9.17130691123485,0.31675641431739
2021-03-04,8,6,0,0,0,1,2.18435998252512,2.78318569538773,9.49885358663609,0.31675641431739
2021-03-06,10,10,1,0,19,2,3.05810397553517,3.29597387207464,10.8576140736669,0.3295978905735
2021-03-07,10,12,1,0,18,3,3.27653997378768,3.30840680026244,10.7201759208356,0.3295978905735
2021-03-08,10,12,1,0,18,3,3.27653997378768,3.23254265331241,10.8090402882411,0.3295978905735
2021-03-09,10,12,1,0,20,7,4.15028396679773,3.43266251138065,11.1324903793293,0.659195781147001
2021-03-10,16,13,0,0,20,8,5.4608999563128,3.86434185173917,12.4467736652473,0.800961153384061
2021-03-11,12,14,1,0,20,8,4.80559196155526,3.94568309027318,12.0945574491479,0.800961153384061
2021-03-12,14,18,1,0,26,9,5.4608999563128,4.29004182570394,14.1561297416163,0.40048057669203
2021-03-13,13,16,1,0,27,7,4.80559196155526,4.36131089137425,13.3315008246289,0.40048057669203
2021-03-14,14,14,1,0,26,10,5.67933595456531,4.5124676417643,11.7916803144448,0.40048057669203
2021-03-15,14,10,1,0,26,11,5.67933595456531,4.44935433815627,11.4879649890591,0.40048057669203
2021-03-16,14,8,2,0,13,12,6.11620795107034,4.78588825268105,13.1018670160498,1.05263157894737
2021-03-17,18,7,2,0,13,12,6.98995194408038,5.32375283986902,13.1940626717977,1.00502512562814
2021-03-18,23,11,2,0,16,9,7.42682394058541,5.60765164602979,13.986013986014,1.00502512562814
2021-03-19,24,12,2,0,15,9,7.64525993883792,5.79875225873287,19.2307692307692,1.45243282498184
2021-03-20,27,13,3,0,15,4,7.86369593709043,5.90391508716697,19.2307692307692,1.45243282498184
2021-03-21,25,13,3,0,15,5,7.64525993883792,5.8812513453602,27.972027972028,1.45243282498184
2021-03-22,25,12,3,0,15,6,7.64525993883792,5.70560208991552,27.972027972028,0.726216412490922
2021-03-23,19,11,3,0,15,6,6.33464394932285,5.83064708891335,27.972027972028,0.726216412490922
2021-03-24,28,12,3,0,15,7,8.51900393184797,6.08685264304122,24.4755244755245,1.00502512562814
2021-03-25,29,8,3,0,15,5,8.30056793359546,6.13447143467183,27.972027972028,1.00502512562814
2021-03-26,27,12,3,0,14,4,7.64525993883792,6.26947099504788,27.972027972028,0.797448165869219
2021-03-27,21,10,1,0,3,5,6.11620795107034,6.27057656082528,27.972027972028,0.797448165869219
2021-03-28,21,10,1,0,0,7,6.55307994757536,6.23984344308133,26.2237762237762,0.726216412490922
2021-03-29,19,10,1,0,0,8,6.33464394932285,6.03885166244293,22.7272727272727,0.726216412490922
2021-03-30,19,11,1,0,0,8,6.33464394932285,6.01417929952122,29.7202797202797,0.758150113722517
2021-03-31,23,11,2,0,0,7,7.2083879423329,6.31763760787916,33.2167832167832,1.0840108401084
2021-04-01,18,13,3,0,0,3,5.67933595456531,5.84086143197904,19.2307692307692,0.813008130081301
2021-04-02,15,14,3,0,0,1,4.36871996505024,6.0017046911321,26.2237762237762,0.758150113722517
2021-04-03,15,10,2,0,0,4,5.02402795980778,6.0106782497356,27.972027972028,0.758150113722517
2021-04-04,15,8,2,0,0,7,5.67933595456531,5.57853924666326,24.4755244755245,0.758150113722517
2021-04-06,16,8,1,0,0,7,5.67933595456531,4.84419792039632,20.979020979021,0.758150113722517
2021-04-07,18,10,3,0,0,8,6.98995194408038,4.94386061744617,17.4825174825175,0.758150113722517
2021-04-08,21,10,4,0,0,4,7.2083879423329,5.11429351051106,15.7342657342657,0.379075056861259
2021-04-09,23,10,4,0,0,0,6.55307994757536,4.98819485968653,12.8705148205928,0.379075056861259
2021-04-10,21,10,4,0,0,2,6.55307994757536,4.73317447066493,12.8510233222275,0.797448165869219
2021-04-11,20,8,4,0,0,3,6.55307994757536,4.59129618329459,15.7342657342657,0.39714058776807
2021-04-12,17,8,4,0,0,3,5.89777195281782,4.42319316209016,15.7342657342657,0.797448165869219
2021-04-13,17,5,2,0,0,2,5.24246395806029,4.42750612565841,13.986013986014,0.685871056241427
2021-04-14,19,7,3,0,0,2,5.89777195281782,4.58755830746914,18.6567164179104,0.379075056861259
2021-04-15,19,8,3,0,0,4,6.33464394932285,4.66468048549433,18.6567164179104,0.379075056861259
2021-04-16,17,9,3,0,0,2,5.24246395806029,4.65991238717047,18.6567164179104,0.379075056861259
2021-04-17,18,9,4,0,0,0,5.24246395806029,4.73532799687812,18.6567164179104,0.5824111822947
2021-04-18,17,9,3,0,0,0,4.80559196155526,4.54161689681924,18.6567164179104,0.61576354679803
2021-04-19,16,9,3,0,0,3,5.24246395806029,4.50139255758978,18.6567164179104,0.923645320197044
2021-04-20,13,9,2,0,1,2,4.36871996505024,3.99433991940574,18.6567164179104,0.307881773399015
2021-04-21,13,8,1,0,1,1,3.93184796854522,4.23607231588625,19.0543401552576,0.61576354679803
2021-04-22,14,6,1,0,2,1,4.15028396679773,4.28381619093588,19.0543401552576,0.307881773399015
2021-04-23,13,9,1,0,2,2,4.15028396679773,4.09419642015506,17.6429075511644,0.547045951859956
2021-04-24,11,6,1,0,2,0,3.05810397553517,3.95860447207976,15.5257586450247,0.39714058776807
2021-04-25,11,4,1,0,1,0,2.83966797728266,3.53173552424362,14.9253731343284,0.396353547364249
2021-04-26,12,4,1,0,1,1,3.27653997378768,3.63596698826338,14.9253731343284,0.396353547364249
2021-04-27,11,2,1,0,3,1,3.05810397553517,3.72483047123997,15.5257586450247,0.396353547364249
2021-04-28,11,2,0,0,3,0,2.40279598077763,3.96439132069721,17.6429075511644,0.331895121141719
2021-04-29,9,2,1,0,3,0,2.18435998252512,3.92041143617484,18.348623853211,0.331895121141719
2021-04-30,8,1,1,0,2,0,1.96592398427261,3.94364124362111,18.6567164179104,0.396353547364249
